dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,diversity,,0.1,0,19,0.14331675893444815
Apache,diversity,,0.2,0,38,0.15775170444474074
Apache,diversity,,0.3,0,58,0.14727765089946945
Apache,diversity,,0.4,0,77,0.14912695029175904
Apache,diversity,,0.5,0,96,0.1375130183282609
Apache,diversity,,0.6,0,115,0.1420863093329334
Apache,diversity,,0.7,0,134,0.1372563266529891
Apache,diversity,,0.8,0,154,0.11869895324369244
Apache,diversity,,0.9,0,173,0.13297767758207307
Apache,diversity,,1.0,0,191,0.10556383507203146
Apache,random,,0.1,4,19,0.17374614346798364
Apache,kmeans_default,5,0.1,4,19,0.2210108963730226
Apache,kmeans_hamming,5,0.1,4,19,0.16563578509203386
Apache,kmeans_random,5,0.1,4,19,0.16019479407567355
Apache,kmeans_default,6,0.1,4,19,0.17864873811977267
Apache,kmeans_hamming,6,0.1,4,19,0.1762046930344049
Apache,kmeans_random,6,0.1,4,19,0.2464219034167739
Apache,kmeans_default,7,0.1,4,19,0.1963968615136901
Apache,kmeans_hamming,7,0.1,4,19,0.17742924075917824
Apache,kmeans_random,7,0.1,4,19,0.17799184434466886
Apache,kmeans_default,8,0.1,4,19,0.20680009048839298
Apache,kmeans_hamming,8,0.1,4,19,0.22717380426775885
Apache,kmeans_random,8,0.1,4,19,0.18554403535565062
Apache,kmeans_default,9,0.1,4,19,0.20531351248620047
Apache,kmeans_hamming,9,0.1,4,19,0.2316249350487212
Apache,kmeans_random,9,0.1,4,19,0.17896418003945624
Apache,kmeans_default,10,0.1,4,19,0.1598461597121123
Apache,kmeans_hamming,10,0.1,4,19,0.1895596760822867
Apache,kmeans_random,10,0.1,4,19,0.2037106105657814
Apache,kmeans_default,11,0.1,4,19,0.19146558859375662
Apache,kmeans_hamming,11,0.1,4,19,0.25300028826540016
Apache,kmeans_random,11,0.1,4,19,0.1701103993327211
Apache,kmeans_default,12,0.1,4,19,0.3238357659087306
Apache,kmeans_hamming,12,0.1,4,19,0.1810389984674864
Apache,kmeans_random,12,0.1,4,19,0.16272840115444792
Apache,kmeans_default,13,0.1,4,19,0.1728645601318119
Apache,kmeans_hamming,13,0.1,4,19,0.2069285144196411
Apache,kmeans_random,13,0.1,4,19,0.2168003240622265
Apache,kmeans_default,14,0.1,4,19,0.18095302905216834
Apache,kmeans_hamming,14,0.1,4,19,0.17167711728274068
Apache,kmeans_random,14,0.1,4,19,0.1893569664626106
Apache,kmeans_default,15,0.1,4,19,0.22936651051111492
Apache,kmeans_hamming,15,0.1,4,19,0.19591619907294736
Apache,kmeans_random,15,0.1,4,19,0.19704851693333403
Apache,kmeans_default,16,0.1,4,19,0.3122497008086084
Apache,kmeans_hamming,16,0.1,4,19,0.19471973151086042
Apache,kmeans_random,16,0.1,4,19,0.22082768840008296
Apache,kmeans_default,17,0.1,4,19,0.18946314227195304
Apache,kmeans_hamming,17,0.1,4,19,0.19874347217812735
Apache,kmeans_random,17,0.1,4,19,0.167472488171939
Apache,kmeans_default,18,0.1,4,19,0.1707462904219034
Apache,kmeans_hamming,18,0.1,4,19,0.22347935819241344
Apache,kmeans_random,18,0.1,4,19,0.16264417667944944
Apache,kmeans_default,19,0.1,4,19,0.15252287830641525
Apache,kmeans_hamming,19,0.1,4,19,0.29033358531058145
Apache,kmeans_random,19,0.1,4,19,0.1641054660736549
Apache,random,,0.2,4,38,0.17576437304074025
Apache,kmeans_default,5,0.2,4,38,0.18246274800182183
Apache,kmeans_hamming,5,0.2,4,38,0.14955621859688584
Apache,kmeans_random,5,0.2,4,38,0.1530188197021565
Apache,kmeans_default,6,0.2,4,38,0.19092861246905757
Apache,kmeans_hamming,6,0.2,4,38,0.16994747450996903
Apache,kmeans_random,6,0.2,4,38,0.1748001099238724
Apache,kmeans_default,7,0.2,4,38,0.20683690906023802
Apache,kmeans_hamming,7,0.2,4,38,0.15439138213085268
Apache,kmeans_random,7,0.2,4,38,0.15938985817827592
Apache,kmeans_default,8,0.2,4,38,0.22209335456055737
Apache,kmeans_hamming,8,0.2,4,38,0.16530347000983528
Apache,kmeans_random,8,0.2,4,38,0.16754177991934263
Apache,kmeans_default,9,0.2,4,38,0.14979469913720114
Apache,kmeans_hamming,9,0.2,4,38,0.17333675125922832
Apache,kmeans_random,9,0.2,4,38,0.16803998351306496
Apache,kmeans_default,10,0.2,4,38,0.15105682392667688
Apache,kmeans_hamming,10,0.2,4,38,0.15216893655573813
Apache,kmeans_random,10,0.2,4,38,0.15590579097107027
Apache,kmeans_default,11,0.2,4,38,0.18287784299850923
Apache,kmeans_hamming,11,0.2,4,38,0.16184867811592976
Apache,kmeans_random,11,0.2,4,38,0.15426409966784121
Apache,kmeans_default,12,0.2,4,38,0.15923213399173053
Apache,kmeans_hamming,12,0.2,4,38,0.15790930958261162
Apache,kmeans_random,12,0.2,4,38,0.15659172007263258
Apache,kmeans_default,13,0.2,4,38,0.16173201041676677
Apache,kmeans_hamming,13,0.2,4,38,0.16262443579694863
Apache,kmeans_random,13,0.2,4,38,0.159016322734202
Apache,kmeans_default,14,0.2,4,38,0.17970693308437208
Apache,kmeans_hamming,14,0.2,4,38,0.1583933285725476
Apache,kmeans_random,14,0.2,4,38,0.176781487994543
