dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,diversity,,0.1,0,19,0.14331675893444815
Apache,random,,0.1,1,19,0.18239866074145583
Apache,kmeans_default,5,0.1,1,19,0.22187198458791313
Apache,kmeans_hamming,5,0.1,1,19,0.19521107116899958
Apache,kmeans_random,5,0.1,1,19,0.20773968321788566
Apache,kmeans_default,6,0.1,1,19,0.17348862677735735
Apache,kmeans_hamming,6,0.1,1,19,0.16965270747220265
Apache,kmeans_random,6,0.1,1,19,0.1745139481004832
Apache,kmeans_default,7,0.1,1,19,0.1925769871439317
Apache,kmeans_hamming,7,0.1,1,19,0.1714435739331302
Apache,kmeans_random,7,0.1,1,19,0.26247889597670243
Apache,kmeans_default,8,0.1,1,19,0.255273527080242
Apache,kmeans_hamming,8,0.1,1,19,0.16600882520116308
Apache,kmeans_random,8,0.1,1,19,0.1915145498359975
Apache,kmeans_default,9,0.1,1,19,0.22724258991435436
Apache,kmeans_hamming,9,0.1,1,19,0.19181451482028727
Apache,kmeans_random,9,0.1,1,19,0.15616352920413307
Apache,kmeans_default,10,0.1,1,19,0.14480338912569254
Apache,kmeans_hamming,10,0.1,1,19,0.18386378095265765
Apache,kmeans_random,10,0.1,1,19,0.2013145618659553
Apache,kmeans_default,11,0.1,1,19,0.19425449359622066
Apache,kmeans_hamming,11,0.1,1,19,0.17947908395410478
Apache,kmeans_random,11,0.1,1,19,0.1583795604993256
Apache,kmeans_default,12,0.1,1,19,0.23821335884286213
Apache,kmeans_hamming,12,0.1,1,19,0.19418691212663333
Apache,kmeans_random,12,0.1,1,19,0.16963922340645787
Apache,kmeans_default,13,0.1,1,19,0.14542977804632637
Apache,kmeans_hamming,13,0.1,1,19,0.17894530098531303
Apache,kmeans_random,13,0.1,1,19,0.20603982703398147
Apache,kmeans_default,14,0.1,1,19,0.16180142837117387
Apache,kmeans_hamming,14,0.1,1,19,0.1948259397393958
Apache,kmeans_random,14,0.1,1,19,0.19717775337423848
Apache,kmeans_default,15,0.1,1,19,0.2358523450934895
Apache,kmeans_hamming,15,0.1,1,19,0.19594681921416826
Apache,kmeans_random,15,0.1,1,19,0.17819255073124549
Apache,kmeans_default,16,0.1,1,19,0.17612077742998034
Apache,kmeans_hamming,16,0.1,1,19,0.2017767035935227
Apache,kmeans_random,16,0.1,1,19,0.14665522268221146
Apache,kmeans_default,17,0.1,1,19,0.18533277741411908
Apache,kmeans_hamming,17,0.1,1,19,0.19392975897859796
Apache,kmeans_random,17,0.1,1,19,0.17832740351653817
Apache,kmeans_default,18,0.1,1,19,0.16852417889817553
Apache,kmeans_hamming,18,0.1,1,19,0.18174424719389878
Apache,kmeans_random,18,0.1,1,19,0.15301369088582326
Apache,kmeans_default,19,0.1,1,19,0.21608362680368365
Apache,kmeans_hamming,19,0.1,1,19,0.20145898173494373
Apache,kmeans_random,19,0.1,1,19,0.1647126884345769
Apache,random,,0.1,2,19,0.17993815583807923
Apache,kmeans_default,5,0.1,2,19,0.19730409976456592
Apache,kmeans_hamming,5,0.1,2,19,0.18695018713709227
Apache,kmeans_random,5,0.1,2,19,0.16639180490197567
Apache,kmeans_default,6,0.1,2,19,0.23013669228449482
Apache,kmeans_hamming,6,0.1,2,19,0.1775299045706151
Apache,kmeans_random,6,0.1,2,19,0.20625125749983625
Apache,kmeans_default,7,0.1,2,19,0.18204980670743307
Apache,kmeans_hamming,7,0.1,2,19,0.22088435056087077
Apache,kmeans_random,7,0.1,2,19,0.1628011852071009
Apache,kmeans_default,8,0.1,2,19,0.21850835799636137
Apache,kmeans_hamming,8,0.1,2,19,0.16801140838157022
Apache,kmeans_random,8,0.1,2,19,0.19705234132100166
Apache,kmeans_default,9,0.1,2,19,0.35730660911946166
