dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,diversity,,0.1,19,0.14331675893444815,0.0
Apache,kmeans_default,5,0.1,19,0.19390354433098803,0.02543310807950951
Apache,kmeans_default,6,0.1,19,0.1916553870921153,0.031849939166706455
Apache,kmeans_default,7,0.1,19,0.19636057166847776,0.04828834260110839
Apache,kmeans_default,8,0.1,19,0.2205846388037765,0.06856743892753679
Apache,kmeans_default,9,0.1,19,0.21724624589230646,0.05681301230243037
Apache,kmeans_default,10,0.1,19,0.20276149921772257,0.04777865311855065
Apache,kmeans_default,11,0.1,19,0.20884956214811165,0.054540012764007884
Apache,kmeans_default,12,0.1,19,0.21774796590092474,0.04409373328297537
Apache,kmeans_default,13,0.1,19,0.20662506247428217,0.058489555864385916
Apache,kmeans_default,14,0.1,19,0.198330184182208,0.05343871603465986
Apache,kmeans_default,15,0.1,19,0.19525341502364718,0.03387659780852247
Apache,kmeans_default,16,0.1,19,0.22739431105067548,0.06471397803495718
Apache,kmeans_default,17,0.1,19,0.1992281095580806,0.03193457602405035
Apache,kmeans_default,18,0.1,19,0.18828551959884307,0.03211567411117706
Apache,kmeans_default,19,0.1,19,0.2161397060409114,0.05577048110814962
Apache,kmeans_hamming,5,0.1,19,0.1840240428134444,0.022512877920061968
Apache,kmeans_hamming,6,0.1,19,0.1854319837643842,0.02615901115649298
Apache,kmeans_hamming,7,0.1,19,0.18966272750521238,0.02356744999818054
Apache,kmeans_hamming,8,0.1,19,0.18181801339210396,0.027743647277309456
Apache,kmeans_hamming,9,0.1,19,0.18643975129028276,0.025208093284979735
Apache,kmeans_hamming,10,0.1,19,0.18257870812070606,0.01879502667812233
Apache,kmeans_hamming,11,0.1,19,0.1948486853551259,0.019791760863277916
Apache,kmeans_hamming,12,0.1,19,0.19626130634745162,0.026531637645545114
Apache,kmeans_hamming,13,0.1,19,0.20309518360808648,0.04016966780061537
Apache,kmeans_hamming,14,0.1,19,0.20100109835744745,0.027898978936883548
Apache,kmeans_hamming,15,0.1,19,0.1953527822025909,0.016460592919524373
Apache,kmeans_hamming,16,0.1,19,0.1954789306701462,0.019166266706176358
Apache,kmeans_hamming,17,0.1,19,0.1968277973245685,0.02410216067786538
Apache,kmeans_hamming,18,0.1,19,0.2076976112524241,0.025891379399375893
Apache,kmeans_hamming,19,0.1,19,0.21446351187771756,0.02792779553906306
Apache,kmeans_random,5,0.1,19,0.18337943099919832,0.021812004545373083
Apache,kmeans_random,6,0.1,19,0.18450950628064733,0.03365706826806452
Apache,kmeans_random,7,0.1,19,0.18346371482684326,0.026838027898957045
Apache,kmeans_random,8,0.1,19,0.19523513973429457,0.034037558814970406
Apache,kmeans_random,9,0.1,19,0.18456295206528658,0.028343971629348715
Apache,kmeans_random,10,0.1,19,0.18264199724301422,0.022549014504657877
Apache,kmeans_random,11,0.1,19,0.18194185041606623,0.022456852992128382
Apache,kmeans_random,12,0.1,19,0.1820846053697511,0.026337774160864417
Apache,kmeans_random,13,0.1,19,0.1782324882162725,0.017669617054410967
Apache,kmeans_random,14,0.1,19,0.18314340061576911,0.018921878391948067
Apache,kmeans_random,15,0.1,19,0.1798314673684209,0.022069760604378538
Apache,kmeans_random,16,0.1,19,0.18331962269058108,0.023499529240037755
Apache,kmeans_random,17,0.1,19,0.1772086418745471,0.021008311097189872
Apache,kmeans_random,18,0.1,19,0.17745034418815367,0.020962611931369595
Apache,kmeans_random,19,0.1,19,0.17974714837253114,0.018854456817786414
Apache,random,,0.1,19,0.17877063721502304,0.019254492440610144
Apache,diversity,,0.2,38,0.15775170444474074,0.0
Apache,kmeans_default,5,0.2,38,0.19404368818432166,0.04816417589214372
Apache,kmeans_default,6,0.2,38,0.1914767700609433,0.031233844028702714
Apache,kmeans_default,7,0.2,38,0.18309459179463017,0.02939975278464197
Apache,kmeans_default,8,0.2,38,0.18304170191332056,0.0350936930518162
Apache,kmeans_default,9,0.2,38,0.17688672224681345,0.03505900998861013
Apache,kmeans_default,10,0.2,38,0.17570147049353346,0.021069698065373475
Apache,kmeans_default,11,0.2,38,0.1810401322631039,0.03411334645391938
Apache,kmeans_default,12,0.2,38,0.17287400436485978,0.03260290168189912
Apache,kmeans_default,13,0.2,38,0.1673299003635605,0.020584447048249986
Apache,kmeans_default,14,0.2,38,0.1654715304819516,0.01674958283544598
Apache,kmeans_default,15,0.2,38,0.16746286135725771,0.0206784975986813
Apache,kmeans_default,16,0.2,38,0.168636063638536,0.028240397233424922
Apache,kmeans_default,17,0.2,38,0.16540728775752359,0.01470575854395208
Apache,kmeans_default,18,0.2,38,0.16746539630060076,0.021343688153050135
Apache,kmeans_default,19,0.2,38,0.1656028759695253,0.017606868274776914
Apache,kmeans_default,20,0.2,38,0.1602462349667041,0.013111119853357146
Apache,kmeans_hamming,5,0.2,38,0.15486345596271478,0.0083169879125949
Apache,kmeans_hamming,6,0.2,38,0.15947940613443748,0.009269831721418164
