Dataset,Sample (%),Sample size
Apache,10,19
Apache,20,38
Apache,30,58
Apache,40,77
Apache,50,96
Apache,60,115
Apache,70,134
Apache,80,154
Apache,90,173
Apache,100,191
BDBC,10,256
BDBC,20,512
BDBC,30,768
BDBC,40,1024
BDBC,50,1280
BDBC,60,1536
BDBC,70,1792
BDBC,80,2048
BDBC,90,2304
BDBC,100,2559
BDBJ,10,18
BDBJ,20,36
BDBJ,30,54
BDBJ,40,72
BDBJ,50,90
BDBJ,60,108
BDBJ,70,126
BDBJ,80,144
BDBJ,90,162
BDBJ,100,179
LLVM,10,102
LLVM,20,205
LLVM,30,307
LLVM,40,410
LLVM,50,512
LLVM,60,614
LLVM,70,717
LLVM,80,819
LLVM,90,922
LLVM,100,1023
