Best variant,Best K,Best count,Share (%)
K-means Hamming,8,4,14.29
K-means default,10,3,10.71
K-means default,20,3,10.71
K-means Hamming,5,2,7.14
K-means default,29,2,7.14
K-means default,50,2,7.14
K-means Hamming,19,1,3.57
K-means Hamming,25,1,3.57
K-means Hamming,27,1,3.57
K-means Hamming,32,1,3.57
K-means Hamming,40,1,3.57
K-means default,6,1,3.57
K-means default,22,1,3.57
K-means default,24,1,3.57
K-means default,28,1,3.57
K-means default,32,1,3.57
K-means default,36,1,3.57
K-means default,44,1,3.57
