Dataset,Sample (%),Method,Repetitions
Apache,10,Diversity,1
Apache,10,K-means default (K=10),30
Apache,10,K-means default (K=11),30
Apache,10,K-means default (K=12),30
Apache,10,K-means default (K=13),30
Apache,10,K-means default (K=14),30
Apache,10,K-means default (K=15),30
Apache,10,K-means default (K=16),30
Apache,10,K-means default (K=17),30
Apache,10,K-means default (K=18),30
Apache,10,K-means default (K=19),30
Apache,10,K-means default (K=5),30
Apache,10,K-means default (K=6),30
Apache,10,K-means default (K=7),30
Apache,10,K-means default (K=8),30
Apache,10,K-means default (K=9),30
Apache,10,K-means Hamming (K=10),30
Apache,10,K-means Hamming (K=11),30
Apache,10,K-means Hamming (K=12),30
Apache,10,K-means Hamming (K=13),30
Apache,10,K-means Hamming (K=14),30
Apache,10,K-means Hamming (K=15),30
Apache,10,K-means Hamming (K=16),30
Apache,10,K-means Hamming (K=17),30
Apache,10,K-means Hamming (K=18),30
Apache,10,K-means Hamming (K=19),30
Apache,10,K-means Hamming (K=5),30
Apache,10,K-means Hamming (K=6),30
Apache,10,K-means Hamming (K=7),30
Apache,10,K-means Hamming (K=8),30
Apache,10,K-means Hamming (K=9),30
Apache,10,Random,30
Apache,20,Diversity,1
Apache,20,K-means default (K=10),30
Apache,20,K-means default (K=11),30
Apache,20,K-means default (K=12),30
Apache,20,K-means default (K=13),30
Apache,20,K-means default (K=14),30
Apache,20,K-means default (K=15),30
Apache,20,K-means default (K=16),30
Apache,20,K-means default (K=17),30
Apache,20,K-means default (K=18),30
Apache,20,K-means default (K=19),30
Apache,20,K-means default (K=20),30
Apache,20,K-means default (K=21),30
Apache,20,K-means default (K=22),30
Apache,20,K-means default (K=23),30
Apache,20,K-means default (K=24),30
Apache,20,K-means default (K=25),30
Apache,20,K-means default (K=26),30
Apache,20,K-means default (K=27),30
Apache,20,K-means default (K=28),30
Apache,20,K-means default (K=29),30
Apache,20,K-means default (K=30),30
Apache,20,K-means default (K=31),30
Apache,20,K-means default (K=32),30
Apache,20,K-means default (K=33),30
Apache,20,K-means default (K=34),30
Apache,20,K-means default (K=35),30
Apache,20,K-means default (K=36),30
Apache,20,K-means default (K=37),30
Apache,20,K-means default (K=38),30
Apache,20,K-means default (K=5),30
Apache,20,K-means default (K=6),30
Apache,20,K-means default (K=7),30
Apache,20,K-means default (K=8),30
Apache,20,K-means default (K=9),30
Apache,20,K-means Hamming (K=10),30
Apache,20,K-means Hamming (K=11),30
Apache,20,K-means Hamming (K=12),30
Apache,20,K-means Hamming (K=13),30
Apache,20,K-means Hamming (K=14),30
Apache,20,K-means Hamming (K=15),30
Apache,20,K-means Hamming (K=16),30
Apache,20,K-means Hamming (K=17),30
Apache,20,K-means Hamming (K=18),30
Apache,20,K-means Hamming (K=19),30
Apache,20,K-means Hamming (K=20),30
Apache,20,K-means Hamming (K=21),30
Apache,20,K-means Hamming (K=22),30
Apache,20,K-means Hamming (K=23),30
Apache,20,K-means Hamming (K=24),30
Apache,20,K-means Hamming (K=25),30
Apache,20,K-means Hamming (K=26),30
Apache,20,K-means Hamming (K=27),30
Apache,20,K-means Hamming (K=28),30
Apache,20,K-means Hamming (K=29),30
Apache,20,K-means Hamming (K=30),30
Apache,20,K-means Hamming (K=31),30
Apache,20,K-means Hamming (K=32),30
Apache,20,K-means Hamming (K=33),30
Apache,20,K-means Hamming (K=34),30
Apache,20,K-means Hamming (K=35),30
Apache,20,K-means Hamming (K=36),30
Apache,20,K-means Hamming (K=37),30
Apache,20,K-means Hamming (K=38),30
Apache,20,K-means Hamming (K=5),30
Apache,20,K-means Hamming (K=6),30
Apache,20,K-means Hamming (K=7),30
Apache,20,K-means Hamming (K=8),30
Apache,20,K-means Hamming (K=9),30
Apache,20,Random,30
Apache,30,Diversity,1
Apache,30,K-means default (K=10),30
Apache,30,K-means default (K=11),30
Apache,30,K-means default (K=12),30
Apache,30,K-means default (K=13),30
Apache,30,K-means default (K=14),30
Apache,30,K-means default (K=15),30
Apache,30,K-means default (K=16),30
Apache,30,K-means default (K=17),30
Apache,30,K-means default (K=18),30
Apache,30,K-means default (K=19),30
Apache,30,K-means default (K=20),30
Apache,30,K-means default (K=21),30
Apache,30,K-means default (K=22),30
Apache,30,K-means default (K=23),30
Apache,30,K-means default (K=24),30
Apache,30,K-means default (K=25),30
Apache,30,K-means default (K=26),30
Apache,30,K-means default (K=27),30
Apache,30,K-means default (K=28),30
Apache,30,K-means default (K=29),30
Apache,30,K-means default (K=30),30
Apache,30,K-means default (K=31),30
Apache,30,K-means default (K=32),30
Apache,30,K-means default (K=33),30
Apache,30,K-means default (K=34),30
Apache,30,K-means default (K=35),30
Apache,30,K-means default (K=36),30
Apache,30,K-means default (K=37),30
Apache,30,K-means default (K=38),30
Apache,30,K-means default (K=39),30
Apache,30,K-means default (K=40),30
Apache,30,K-means default (K=41),30
Apache,30,K-means default (K=42),30
Apache,30,K-means default (K=43),30
Apache,30,K-means default (K=44),30
Apache,30,K-means default (K=45),30
Apache,30,K-means default (K=46),30
Apache,30,K-means default (K=47),30
Apache,30,K-means default (K=48),30
Apache,30,K-means default (K=49),30
Apache,30,K-means default (K=5),30
Apache,30,K-means default (K=50),30
Apache,30,K-means default (K=6),30
Apache,30,K-means default (K=7),30
Apache,30,K-means default (K=8),30
Apache,30,K-means default (K=9),30
Apache,30,K-means Hamming (K=10),30
Apache,30,K-means Hamming (K=11),30
Apache,30,K-means Hamming (K=12),30
Apache,30,K-means Hamming (K=13),30
Apache,30,K-means Hamming (K=14),30
Apache,30,K-means Hamming (K=15),30
Apache,30,K-means Hamming (K=16),30
Apache,30,K-means Hamming (K=17),30
Apache,30,K-means Hamming (K=18),30
Apache,30,K-means Hamming (K=19),30
Apache,30,K-means Hamming (K=20),30
Apache,30,K-means Hamming (K=21),30
Apache,30,K-means Hamming (K=22),30
Apache,30,K-means Hamming (K=23),30
Apache,30,K-means Hamming (K=24),30
Apache,30,K-means Hamming (K=25),30
Apache,30,K-means Hamming (K=26),30
Apache,30,K-means Hamming (K=27),30
Apache,30,K-means Hamming (K=28),30
Apache,30,K-means Hamming (K=29),30
Apache,30,K-means Hamming (K=30),30
Apache,30,K-means Hamming (K=31),30
Apache,30,K-means Hamming (K=32),30
Apache,30,K-means Hamming (K=33),30
Apache,30,K-means Hamming (K=34),30
Apache,30,K-means Hamming (K=35),30
Apache,30,K-means Hamming (K=36),30
Apache,30,K-means Hamming (K=37),30
Apache,30,K-means Hamming (K=38),30
Apache,30,K-means Hamming (K=39),30
Apache,30,K-means Hamming (K=40),30
Apache,30,K-means Hamming (K=41),30
Apache,30,K-means Hamming (K=42),30
Apache,30,K-means Hamming (K=43),30
Apache,30,K-means Hamming (K=44),30
Apache,30,K-means Hamming (K=45),30
Apache,30,K-means Hamming (K=46),30
Apache,30,K-means Hamming (K=47),30
Apache,30,K-means Hamming (K=48),30
Apache,30,K-means Hamming (K=49),30
Apache,30,K-means Hamming (K=5),30
Apache,30,K-means Hamming (K=50),30
Apache,30,K-means Hamming (K=6),30
Apache,30,K-means Hamming (K=7),30
Apache,30,K-means Hamming (K=8),30
Apache,30,K-means Hamming (K=9),30
Apache,30,Random,30
Apache,40,Diversity,1
Apache,40,K-means default (K=10),30
Apache,40,K-means default (K=11),30
Apache,40,K-means default (K=12),30
Apache,40,K-means default (K=13),30
Apache,40,K-means default (K=14),30
Apache,40,K-means default (K=15),30
Apache,40,K-means default (K=16),30
Apache,40,K-means default (K=17),30
Apache,40,K-means default (K=18),30
Apache,40,K-means default (K=19),30
Apache,40,K-means default (K=20),30
Apache,40,K-means default (K=21),30
Apache,40,K-means default (K=22),30
Apache,40,K-means default (K=23),30
Apache,40,K-means default (K=24),30
Apache,40,K-means default (K=25),30
Apache,40,K-means default (K=26),30
Apache,40,K-means default (K=27),30
Apache,40,K-means default (K=28),30
Apache,40,K-means default (K=29),30
Apache,40,K-means default (K=30),30
Apache,40,K-means default (K=31),30
Apache,40,K-means default (K=32),30
Apache,40,K-means default (K=33),30
Apache,40,K-means default (K=34),30
Apache,40,K-means default (K=35),30
Apache,40,K-means default (K=36),30
Apache,40,K-means default (K=37),30
Apache,40,K-means default (K=38),30
Apache,40,K-means default (K=39),30
Apache,40,K-means default (K=40),30
Apache,40,K-means default (K=41),30
Apache,40,K-means default (K=42),30
Apache,40,K-means default (K=43),30
Apache,40,K-means default (K=44),30
Apache,40,K-means default (K=45),30
Apache,40,K-means default (K=46),30
Apache,40,K-means default (K=47),30
Apache,40,K-means default (K=48),30
Apache,40,K-means default (K=49),30
Apache,40,K-means default (K=5),30
Apache,40,K-means default (K=50),30
Apache,40,K-means default (K=6),30
Apache,40,K-means default (K=7),30
Apache,40,K-means default (K=8),30
Apache,40,K-means default (K=9),30
Apache,40,K-means Hamming (K=10),30
Apache,40,K-means Hamming (K=11),30
Apache,40,K-means Hamming (K=12),30
Apache,40,K-means Hamming (K=13),30
Apache,40,K-means Hamming (K=14),30
Apache,40,K-means Hamming (K=15),30
Apache,40,K-means Hamming (K=16),30
Apache,40,K-means Hamming (K=17),30
Apache,40,K-means Hamming (K=18),30
Apache,40,K-means Hamming (K=19),30
Apache,40,K-means Hamming (K=20),30
Apache,40,K-means Hamming (K=21),30
Apache,40,K-means Hamming (K=22),30
Apache,40,K-means Hamming (K=23),30
Apache,40,K-means Hamming (K=24),30
Apache,40,K-means Hamming (K=25),30
Apache,40,K-means Hamming (K=26),30
Apache,40,K-means Hamming (K=27),30
Apache,40,K-means Hamming (K=28),30
Apache,40,K-means Hamming (K=29),30
Apache,40,K-means Hamming (K=30),30
Apache,40,K-means Hamming (K=31),30
Apache,40,K-means Hamming (K=32),30
Apache,40,K-means Hamming (K=33),30
Apache,40,K-means Hamming (K=34),30
Apache,40,K-means Hamming (K=35),30
Apache,40,K-means Hamming (K=36),30
Apache,40,K-means Hamming (K=37),30
Apache,40,K-means Hamming (K=38),30
Apache,40,K-means Hamming (K=39),30
Apache,40,K-means Hamming (K=40),30
Apache,40,K-means Hamming (K=41),30
Apache,40,K-means Hamming (K=42),30
Apache,40,K-means Hamming (K=43),30
Apache,40,K-means Hamming (K=44),30
Apache,40,K-means Hamming (K=45),30
Apache,40,K-means Hamming (K=46),30
Apache,40,K-means Hamming (K=47),30
Apache,40,K-means Hamming (K=48),30
Apache,40,K-means Hamming (K=49),30
Apache,40,K-means Hamming (K=5),30
Apache,40,K-means Hamming (K=50),30
Apache,40,K-means Hamming (K=6),30
Apache,40,K-means Hamming (K=7),30
Apache,40,K-means Hamming (K=8),30
Apache,40,K-means Hamming (K=9),30
Apache,40,Random,30
Apache,50,Diversity,1
Apache,50,K-means default (K=10),30
Apache,50,K-means default (K=11),30
Apache,50,K-means default (K=12),30
Apache,50,K-means default (K=13),30
Apache,50,K-means default (K=14),30
Apache,50,K-means default (K=15),30
Apache,50,K-means default (K=16),30
Apache,50,K-means default (K=17),30
Apache,50,K-means default (K=18),30
Apache,50,K-means default (K=19),30
Apache,50,K-means default (K=20),30
Apache,50,K-means default (K=21),30
Apache,50,K-means default (K=22),30
Apache,50,K-means default (K=23),30
Apache,50,K-means default (K=24),30
Apache,50,K-means default (K=25),30
Apache,50,K-means default (K=26),30
Apache,50,K-means default (K=27),30
Apache,50,K-means default (K=28),30
Apache,50,K-means default (K=29),30
Apache,50,K-means default (K=30),30
Apache,50,K-means default (K=31),30
Apache,50,K-means default (K=32),30
Apache,50,K-means default (K=33),30
Apache,50,K-means default (K=34),30
Apache,50,K-means default (K=35),30
Apache,50,K-means default (K=36),30
Apache,50,K-means default (K=37),30
Apache,50,K-means default (K=38),30
Apache,50,K-means default (K=39),30
Apache,50,K-means default (K=40),30
Apache,50,K-means default (K=41),30
Apache,50,K-means default (K=42),30
Apache,50,K-means default (K=43),30
Apache,50,K-means default (K=44),30
Apache,50,K-means default (K=45),30
Apache,50,K-means default (K=46),30
Apache,50,K-means default (K=47),30
Apache,50,K-means default (K=48),30
Apache,50,K-means default (K=49),30
Apache,50,K-means default (K=5),30
Apache,50,K-means default (K=50),30
Apache,50,K-means default (K=6),30
Apache,50,K-means default (K=7),30
Apache,50,K-means default (K=8),30
Apache,50,K-means default (K=9),30
Apache,50,K-means Hamming (K=10),30
Apache,50,K-means Hamming (K=11),30
Apache,50,K-means Hamming (K=12),30
Apache,50,K-means Hamming (K=13),30
Apache,50,K-means Hamming (K=14),30
Apache,50,K-means Hamming (K=15),30
Apache,50,K-means Hamming (K=16),30
Apache,50,K-means Hamming (K=17),30
Apache,50,K-means Hamming (K=18),30
Apache,50,K-means Hamming (K=19),30
Apache,50,K-means Hamming (K=20),30
Apache,50,K-means Hamming (K=21),30
Apache,50,K-means Hamming (K=22),30
Apache,50,K-means Hamming (K=23),30
Apache,50,K-means Hamming (K=24),30
Apache,50,K-means Hamming (K=25),30
Apache,50,K-means Hamming (K=26),30
Apache,50,K-means Hamming (K=27),30
Apache,50,K-means Hamming (K=28),30
Apache,50,K-means Hamming (K=29),30
Apache,50,K-means Hamming (K=30),30
Apache,50,K-means Hamming (K=31),30
Apache,50,K-means Hamming (K=32),30
Apache,50,K-means Hamming (K=33),30
Apache,50,K-means Hamming (K=34),30
Apache,50,K-means Hamming (K=35),30
Apache,50,K-means Hamming (K=36),30
Apache,50,K-means Hamming (K=37),30
Apache,50,K-means Hamming (K=38),30
Apache,50,K-means Hamming (K=39),30
Apache,50,K-means Hamming (K=40),30
Apache,50,K-means Hamming (K=41),30
Apache,50,K-means Hamming (K=42),30
Apache,50,K-means Hamming (K=43),30
Apache,50,K-means Hamming (K=44),30
Apache,50,K-means Hamming (K=45),30
Apache,50,K-means Hamming (K=46),30
Apache,50,K-means Hamming (K=47),30
Apache,50,K-means Hamming (K=48),30
